着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付,東西
10,3,5,サクラディソール,牝4,55,横山典弘,1:22.0,クビ,**,3-4,35.3,4.0,1,430(+4),,,,尾関知人,さくらコマース,,201405010312,東
11,8,15,カフヴァール,牝5,55,ベリー,1:22.1,クビ,**,14-15,34.1,8.9,6,466(+2),,,,矢野英一,キャロットファーム,,201405010312,東
12,5,10,ヨシカワクン,牝4,54,嶋田純次,1:22.4,2,**,2-2,36.1,59.3,12,454(-10),,,,矢野英一,井上一郎,,201405010312,東
13,6,12,アステールネオ,牝4,55,的場勇人,1:22.4,クビ,**,12-12,34.6,24.2,9,462(-2),,,,的場均,鈴木伸昭,,201405010312,東
14,2,4,アイティクイーン,牝6,55,柴田大知,1:22.8,2.1/2,**,7-8,35.3,222.4,15,508(-6),,,,矢野照正,一ノ瀬恭,,201405010312,東
15,4,8,リアリティー,牝4,52,山崎亮誠,1:24.0,7,**,3-3,37.4,164.2,14,470(+4),,,,本間忍,小林弘明,,201405010312,東
16,4,7,デコルテ,牝7,52,原田和真,1:25.0,6,**,1-1,38.8,300.0,16,452(-22),,,,小桧山悟,谷水雄三,,201405010312,東
1,4,5,プロモントーリオ,牡4,56,ベリー,2:26.7,,**,6-6-5-5,35.0,4.0,1,490(+4),,,,萩原清,水上行雄,"1,818.0",201405010410,東
2,5,6,クイーンオリーブ,牝6,55,後藤浩輝,2:26.7,クビ,**,2-2-2-2,35.3,6.3,4,474(-2),,,,牧光二,シルク,728.0,201405010410,東
3,1,1,クリールカイザー,牡5,57,吉田豊,2:26.8,クビ,**,10-9-9-9,34.7,4.7,3,484(-2),,,,相沢郁,横山修二,454.0,201405010410,東
4,6,8,マイネルメダリスト,牡6,57,蛯名正義,2:27.3,3,**,4-4-5-4,35.7,8.5,6,498(-2),,,,田中清隆,サラブレッドクラブ・ラフィアン,270.0,201405010410,東
5,7,10,レオプログレス,牡9,57,北村宏司,2:27.5,1.1/2,**,7-8-7-7,35.6,24.8,8,466(-4),,,,萱野浩二,レオ,179.0,201405010410,東
6,6,9,コスモユッカ,牡5,57,柴田大知,2:27.6,1/2,**,5-5-3-2,36.1,7.1,5,488(-4),,,,和田正一,ビッグレッドファーム,,201405010410,東
7,7,11,ネオブラックダイヤ,牡6,57,三浦皇成,2:27.9,2,**,9-9-9-7,36.0,85.3,11,500(-2),,,,鹿戸雄一,小林仁幸,,201405010410,東
8,4,4,シンボリボルドー,牡7,57,木幡初広,2:28.4,3,**,11-11-12-12,35.8,184.7,12,464(0),,,,石毛善彦,シンボリ牧場,,201405010410,東
9,2,2,アップルジャック,牡6,57,武豊,2:28.8,2.1/2,**,7-7-7-9,36.7,46.1,9,526(+8),,,,堀井雅広,藤田在子,,201405010410,東
10,3,3,トーセンハルカゼ,牡4,56,松岡正海,2:29.5,4,**,11-11-11-9,37.4,4.6,2,496(+8),,,,鈴木康弘,島川隆哉,,201405010410,東
11,8,12,スーサングレート,牡6,57,浜中俊,2:30.9,9,**,1-1-1-1,40.0,15.4,7,516(0),,,,鈴木孝志,林進,,201405010410,西
12,5,7,ポールアックス,セ8,57,ブノワ,2:31.2,1.3/4,**,3-3-3-5,39.5,60.0,10,528(+16),,,,藤沢和雄,山本英俊,,201405010410,東
取,8,13,シャドウバンガード,牡5,57,戸崎圭太,,,**,,,---,,計不,,,,須貝尚介,飯塚知一,,201405010410,西
1,4,7,ホエールキャプチャ,牝6,57,蛯名正義,1:33.2,,**,8-10,34.3,20.6,8,482(+4),,,,田中清隆,嶋田賢,"3,858.1",201405010411,東
